date,location,game,team_1,draw,team_2
2024-11-17,European League B in Finland,Finland vs Greece,4.36,3.43,2.09
2024-11-17,European League B in Norway,Norway vs Kazakhstan,1.52,4.43,8.68
2024-11-17,European League C in Latvia,Latvia vs Armenia,4.36,3.43,2.09
2024-11-17,European League C in North Macedonia,North Macedonia vs Faroe Islands,1.4,5.36,10.05
2024-11-17,CONCACAF League B in El Salvador,El Salvador vs Montserrat,1.33,6.0,12.32
2024-11-17,CONCACAF League B in St Vincent/Gren,St Vincent/Gren vs Bonaire,1.64,4.23,6.49
2024-11-18,European League A in Croatia,Croatia vs Portugal,3.22,3.19,2.66
2024-11-18,European League A in Poland,Poland vs Scotland,3.22,3.19,2.66
2024-11-18,European League A in Serbia,Serbia vs Denmark,3.22,3.19,2.66
2024-11-18,European League A in Spain,Spain vs Switzerland,1.64,4.23,6.49
2024-11-18,European League C in Bulgaria,Bulgaria vs Belarus,2.39,3.52,3.37
2024-11-18,European League C in Kosovo,Kosovo vs Lithuania,2.09,3.46,4.31
2024-11-18,European League C in Luxembourg,Luxembourg vs Northern Ireland,3.22,3.19,2.66
2024-11-18,European League C in Romania,Romania vs Cyprus,1.33,6.0,12.32
2024-11-18,European League D in Liechtenstein,Liechtenstein vs San Marino,1.81,3.86,5.35
2024-11-18,CONCACAF League B in Aruba,Aruba vs Sint Maarten,2.09,3.46,4.31
2024-11-18,CONCACAF League B in Curaçao,Curaçao vs Saint Lucia,1.52,4.43,8.68
2024-11-18,CONCACAF League B in Grenada,Grenada vs Saint Martin,2.09,3.46,4.31
2024-11-18,CONCACAF League B in Haiti,Haiti vs Puerto Rico,1.33,6.0,12.32
2024-11-19,World Cup qualifier in Bahrain,Bahrain vs Australia,9.88,5.57,1.39
2024-11-19,World Cup qualifier in China,China vs Japan,38.33,7.42,1.19
2024-11-19,World Cup qualifier in Indonesia,Indonesia vs Saudi Arabia,8.77,4.33,1.53
2024-11-19,World Cup qualifier in Kuwait,Kuwait vs Jordan,9.88,5.57,1.39
2024-11-19,World Cup qualifier in Kyrgyzstan,Kyrgyzstan vs Iran,24.38,16.25,1.11
2024-11-19,World Cup qualifier in North Korea,North Korea vs Uzbekistan,8.77,4.33,1.53
2024-11-19,World Cup qualifier in Oman,Oman vs Iraq,4.36,3.43,2.09
2024-11-19,World Cup qualifier in Palestine,Palestine vs South Korea,9.88,5.57,1.39
2024-11-19,World Cup qualifier in UAE,United Arab Emirates vs Qatar,4.36,3.43,2.09
2024-11-19,European League A in Bosnia/Herzeg,Bosnia/Herzegovina vs Netherlands,24.38,16.25,1.11
2024-11-19,European League A in Hungary,Hungary vs Germany,4.36,3.43,2.09
2024-11-19,European League B in Albania,Albania vs Ukraine,5.33,3.9,1.8
2024-11-19,European League B in Czechia,Czechia vs Georgia,2.66,3.21,3.2
2024-11-19,European League B in Montenegro,Montenegro vs Turkey,6.4,4.24,1.64
2024-11-19,European League B in Wales,Wales vs Iceland,2.09,3.46,4.31
2024-11-19,European League C in Slovakia,Slovakia vs Estonia,1.4,5.36,10.05
2024-11-19,European League C in Sweden,Sweden vs Azerbaijan,1.81,3.86,5.35
2024-11-19,European League D in Malta,Malta vs Andorra,2.09,3.46,4.31
2024-11-19,World Cup qualifier in Argentina,Argentina vs Peru,1.3,5.37,23.0
2024-11-19,World Cup qualifier in Bolivia,Bolivia vs Paraguay,4.36,3.43,2.09
2024-11-19,World Cup qualifier in Brazil,Brazil vs Uruguay,3.22,3.19,2.66
2024-11-19,World Cup qualifier in Chile,Chile vs Venezuela,3.39,3.53,2.37
2024-11-19,World Cup qualifier in Colombia,Colombia vs Ecuador,1.81,3.86,5.35
2024-11-19,CONCACAF League B in Antigua & Barbuda,Antigua and Barbuda vs Dominica,3.22,3.19,2.66
2024-11-19,CONCACAF League B in the Dominican Rep,Dominican Republic vs Bermuda,2.39,3.52,3.37
2024-11-23,SE Asian Champ in Cambodia,Cambodia vs Malaysia,25.0,5.33,1.29
2024-11-24,SE Asian Champ in Laos,Laos vs Vietnam,inf,18.6,1.06
2024-11-24,SE Asian Champ in Myanmar,Myanmar vs Indonesia,25.0,5.33,1.29
2024-11-26,SE Asian Champ in Singapore,Singapore vs Cambodia,1.52,4.43,8.68
2024-11-27,SE Asian Champ in Indonesia,Indonesia vs Laos,1.06,22.67,68.0
2024-11-27,SE Asian Champ in the Philippines,Philippines vs Myanmar,2.09,3.46,4.31
2024-11-29,SE Asian Champ in Thailand,Thailand vs Malaysia,1.81,3.86,5.35
2024-11-30,SE Asian Champ in Laos,Laos vs Philippines,12.57,5.89,1.33
2024-11-30,SE Asian Champ in Vietnam,Vietnam vs Indonesia,3.39,3.53,2.37
2024-12-02,SE Asian Champ in Singapore,Singapore vs Thailand,9.88,5.57,1.39
2024-12-03,SE Asian Champ in Myanmar,Myanmar vs Laos,1.64,4.23,6.49
2024-12-03,SE Asian Champ in the Philippines,Philippines vs Vietnam,6.4,4.24,1.64
2024-12-06,SE Asian Champ in Malaysia,Malaysia vs Singapore,1.81,3.86,5.35
2024-12-06,SE Asian Champ in Thailand,Thailand vs Cambodia,1.16,12.4,17.71
2024-12-07,SE Asian Champ in Indonesia,Indonesia vs Philippines,1.52,4.43,8.68
2024-12-07,SE Asian Champ in Vietnam,Vietnam vs Myanmar,1.33,6.0,12.32
2025-01-06,Friendly in the United States,Mexico vs Thailand,1.33,6.0,12.32
2025-01-13,Friendly in the United States,El Salvador vs Thailand,3.22,3.19,2.66
2025-03-20,World Cup qualifier in Australia,Australia vs Indonesia,1.3,5.37,23.0
2025-03-20,World Cup qualifier in Iran,Iran vs United Arab Emirates,1.4,5.36,10.05
2025-03-20,World Cup qualifier in Iraq,Iraq vs Kuwait,1.4,5.36,10.05
2025-03-20,World Cup qualifier in Japan,Japan vs Bahrain,1.3,5.37,23.0
2025-03-20,World Cup qualifier in Jordan,Jordan vs Palestine,1.64,4.23,6.49
2025-03-20,World Cup qualifier in Qatar,Qatar vs North Korea,1.64,4.23,6.49
2025-03-20,World Cup qualifier in Saudi Arabia,Saudi Arabia vs China,1.81,3.86,5.35
2025-03-20,World Cup qualifier in South Korea,South Korea vs Oman,1.64,4.23,6.49
2025-03-20,World Cup qualifier in Uzbekistan,Uzbekistan vs Kyrgyzstan,1.3,5.37,23.0
2025-03-20,World Cup qualifier in Brazil,Brazil vs Colombia,3.22,3.19,2.66
2025-03-20,World Cup qualifier in Ecuador,Ecuador vs Venezuela,2.39,3.52,3.37
2025-03-20,World Cup qualifier in Paraguay,Paraguay vs Chile,3.39,3.53,2.37
2025-03-20,World Cup qualifier in Peru,Peru vs Bolivia,1.81,3.86,5.35
2025-03-20,World Cup qualifier in Uruguay,Uruguay vs Argentina,4.36,3.43,2.09
2025-03-25,World Cup qualifier in China,China vs Australia,12.57,5.89,1.33
2025-03-25,World Cup qualifier in Indonesia,Indonesia vs Bahrain,4.36,3.43,2.09
2025-03-25,World Cup qualifier in Iran,Iran vs Uzbekistan,2.09,3.46,4.31
2025-03-25,World Cup qualifier in Japan,Japan vs Saudi Arabia,1.52,4.43,8.68
2025-03-25,World Cup qualifier in Kuwait,Kuwait vs Oman,5.33,3.9,1.8
2025-03-25,World Cup qualifier in Kyrgyzstan,Kyrgyzstan vs Qatar,12.57,5.89,1.33
2025-03-25,World Cup qualifier in North Korea,North Korea vs United Arab Emirates,4.36,3.43,2.09
2025-03-25,World Cup qualifier in Palestine,Palestine vs Iraq,8.77,4.33,1.53
2025-03-25,World Cup qualifier in South Korea,South Korea vs Jordan,2.09,3.46,4.31
2025-03-25,World Cup qualifier in Argentina,Argentina vs Brazil,2.09,3.46,4.31
2025-03-25,World Cup qualifier in Bolivia,Bolivia vs Uruguay,38.33,7.42,1.19
2025-03-25,World Cup qualifier in Chile,Chile vs Ecuador,4.36,3.43,2.09
2025-03-25,World Cup qualifier in Colombia,Colombia vs Paraguay,1.33,6.0,12.32
2025-03-25,World Cup qualifier in Venezuela,Venezuela vs Peru,2.09,3.46,4.31
2025-06-04,World Cup qualifier in Chile,Chile vs Argentina,25.0,5.33,1.29
2025-06-04,World Cup qualifier in Colombia,Colombia vs Peru,1.4,5.36,10.05
2025-06-04,World Cup qualifier in Ecuador,Ecuador vs Brazil,4.36,3.43,2.09
2025-06-04,World Cup qualifier in Paraguay,Paraguay vs Uruguay,12.57,5.89,1.33
2025-06-04,World Cup qualifier in Venezuela,Venezuela vs Bolivia,1.52,4.43,8.68
2025-06-04,World Cup qualifier in Barbados,Barbados vs Aruba,3.39,3.53,2.37
2025-06-04,World Cup qualifier in Bermuda,Bermuda vs Cayman Islands,1.4,5.36,10.05
2025-06-04,World Cup qualifier in Dominica,Dominica vs British Virgin Islands,1.33,6.0,12.32
2025-06-04,World Cup qualifier in Grenada,Grenada vs Bahamas,1.52,4.43,8.68
2025-06-04,World Cup qualifier in Montserrat,Montserrat vs Belize,3.22,3.19,2.66
2025-06-04,World Cup qualifier in St Vincent/Gren,St Vincent/Gren vs Anguilla,1.2,7.18,39.5
2025-06-05,World Cup qualifier in Australia,Australia vs Japan,3.39,3.53,2.37
2025-06-05,World Cup qualifier in Bahrain,Bahrain vs Saudi Arabia,4.36,3.43,2.09
2025-06-05,World Cup qualifier in Indonesia,Indonesia vs China,3.39,3.53,2.37
2025-06-05,World Cup qualifier in Iraq,Iraq vs South Korea,3.39,3.53,2.37
2025-06-05,World Cup qualifier in Kuwait,Kuwait vs Palestine,3.39,3.53,2.37
2025-06-05,World Cup qualifier in North Korea,North Korea vs Kyrgyzstan,2.09,3.46,4.31
2025-06-05,World Cup qualifier in Oman,Oman vs Jordan,4.36,3.43,2.09
2025-06-05,World Cup qualifier in Qatar,Qatar vs Iran,5.33,3.9,1.8
2025-06-05,World Cup qualifier in UAE,United Arab Emirates vs Uzbekistan,5.33,3.9,1.8
2025-06-06,World Cup qualifier in Antigua & Barbuda,Antigua and Barbuda vs Cuba,9.88,5.57,1.39
2025-06-06,World Cup qualifier in Curaçao,Curaçao vs Saint Lucia,1.52,4.43,8.68
2025-06-06,World Cup qualifier in Guatemala,Guatemala vs Dominican Republic,1.52,4.43,8.68
2025-06-06,World Cup qualifier in Nicaragua,Nicaragua vs Guyana,2.39,3.52,3.37
2025-06-06,World Cup qualifier in Suriname,Suriname vs Puerto Rico,1.81,3.86,5.35
2025-06-06,World Cup qualifier in Trinidad & Tobago,Trinidad and Tobago vs Saint Kitts and Nevis,1.4,5.36,10.05
2025-06-07,World Cup qualifier in Anguilla,Anguilla vs El Salvador,inf,inf,1.0
2025-06-07,World Cup qualifier in Aruba,Aruba vs Haiti,24.38,16.25,1.11
2025-06-07,World Cup qualifier in the Bahamas,Bahamas vs Costa Rica,inf,inf,1.0
2025-06-07,World Cup qualifier in Belize,Belize vs Panama,67.0,22.33,1.06
2025-06-07,World Cup qualifier in the Br Virgin Islands,British Virgin Islands vs Jamaica,inf,inf,1.0
2025-06-07,World Cup qualifier in the Cayman Islands,Cayman Islands vs Honduras,67.0,22.33,1.06
2025-06-09,World Cup qualifier in Argentina,Argentina vs Colombia,2.09,3.46,4.31
2025-06-09,World Cup qualifier in Bolivia,Bolivia vs Chile,5.33,3.9,1.8
2025-06-09,World Cup qualifier in Brazil,Brazil vs Paraguay,1.33,6.0,12.32
2025-06-09,World Cup qualifier in Peru,Peru vs Ecuador,5.33,3.9,1.8
2025-06-09,World Cup qualifier in Uruguay,Uruguay vs Venezuela,1.64,4.23,6.49
2025-06-10,World Cup qualifier in China,China vs Bahrain,3.39,3.53,2.37
2025-06-10,World Cup qualifier in Iran,Iran vs North Korea,1.3,5.37,23.0
2025-06-10,World Cup qualifier in Japan,Japan vs Indonesia,1.12,15.67,23.5
2025-06-10,World Cup qualifier in Jordan,Jordan vs Iraq,3.22,3.19,2.66
2025-06-10,World Cup qualifier in Kyrgyzstan,Kyrgyzstan vs United Arab Emirates,6.4,4.24,1.64
2025-06-10,World Cup qualifier in Palestine,Palestine vs Oman,4.36,3.43,2.09
2025-06-10,World Cup qualifier in Saudi Arabia,Saudi Arabia vs Australia,5.33,3.9,1.8
2025-06-10,World Cup qualifier in South Korea,South Korea vs Kuwait,1.3,5.37,23.0
2025-06-10,World Cup qualifier in Uzbekistan,Uzbekistan vs Qatar,2.66,3.21,3.2
2025-06-10,World Cup qualifier in Costa Rica,Costa Rica vs Trinidad and Tobago,1.64,4.23,6.49
2025-06-10,World Cup qualifier in Cuba,Cuba vs Bermuda,1.81,3.86,5.35
2025-06-10,World Cup qualifier in the Dominican Rep,Dominican Republic vs Dominica,1.64,4.23,6.49
2025-06-10,World Cup qualifier in El Salvador,El Salvador vs Suriname,2.39,3.52,3.37
2025-06-10,World Cup qualifier in Guyana,Guyana vs Montserrat,1.52,4.43,8.68
2025-06-10,World Cup qualifier in Haiti,Haiti vs Curaçao,2.09,3.46,4.31
2025-06-10,World Cup qualifier in Honduras,Honduras vs Antigua and Barbuda,1.12,15.67,23.5
2025-06-10,World Cup qualifier in Jamaica,Jamaica vs Guatemala,2.09,3.46,4.31
2025-06-10,World Cup qualifier in Panama,Panama vs Nicaragua,1.33,6.0,12.32
2025-06-10,World Cup qualifier in Puerto Rico,Puerto Rico vs St Vincent/Gren,2.39,3.52,3.37
2025-06-10,World Cup qualifier in St Kitts and Nevis,Saint Kitts and Nevis vs Grenada,3.22,3.19,2.66
2025-06-10,World Cup qualifier in Saint Lucia,Saint Lucia vs Barbados,1.81,3.86,5.35
2025-09-09,World Cup qualifier in Argentina,Argentina vs Venezuela,1.4,5.36,10.05
2025-09-09,World Cup qualifier in Brazil,Brazil vs Chile,1.52,4.43,8.68
2025-09-09,World Cup qualifier in Colombia,Colombia vs Bolivia,1.2,7.18,39.5
2025-09-09,World Cup qualifier in Paraguay,Paraguay vs Ecuador,6.4,4.24,1.64
2025-09-09,World Cup qualifier in Uruguay,Uruguay vs Peru,1.4,5.36,10.05
2025-09-14,World Cup qualifier in Bolivia,Bolivia vs Brazil,38.33,7.42,1.19
2025-09-14,World Cup qualifier in Chile,Chile vs Uruguay,9.88,5.57,1.39
2025-09-14,World Cup qualifier in Ecuador,Ecuador vs Argentina,8.77,4.33,1.53
2025-09-14,World Cup qualifier in Peru,Peru vs Paraguay,2.66,3.21,3.2
2025-09-14,World Cup qualifier in Venezuela,Venezuela vs Colombia,6.4,4.24,1.64
