game_id,date,location,team,opp,score,opp_score,old_elo,opp_elo,elo_diff,result_class
2024-06-06EgyptBurkina Faso,2024-06-06,World Cup qualifier in Egypt,Burkina Faso,Egypt,1,2,1503,1637,-134,T2
2024-06-06El SalvadorPuerto Rico,2024-06-06,World Cup qualifier in El Salvador,El Salvador,Puerto Rico,0,0,1398,1130,268,D
2024-06-06El SalvadorPuerto Rico,2024-06-06,World Cup qualifier in El Salvador,Puerto Rico,El Salvador,0,0,1130,1398,-268,D
2024-06-06GibraltarWales,2024-06-06,Friendly in Portugal,Wales,Gibraltar,0,0,1710,1047,663,D
2024-06-06GibraltarWales,2024-06-06,Friendly in Portugal,Gibraltar,Wales,0,0,1047,1710,-663,D
2024-06-06Guinea-BissauEthiopia,2024-06-06,World Cup qualifier in Guinea-Bissau,Ethiopia,Guinea-Bissau,0,0,1295,1362,-67,D
2024-06-06Guinea-BissauEthiopia,2024-06-06,World Cup qualifier in Guinea-Bissau,Guinea-Bissau,Ethiopia,0,0,1362,1295,67,D
2024-06-06HaitiSaint Lucia,2024-06-06,World Cup qualifier in Barbados,Saint Lucia,Haiti,1,2,1094,1494,-400,T2
2024-06-06HaitiSaint Lucia,2024-06-06,World Cup qualifier in Barbados,Haiti,Saint Lucia,2,1,1494,1094,400,T1
2024-06-06HondurasCuba,2024-06-06,World Cup qualifier in Honduras,Cuba,Honduras,1,3,1305,1488,-183,T2
2024-06-06HondurasCuba,2024-06-06,World Cup qualifier in Honduras,Honduras,Cuba,3,1,1488,1305,183,T1
2024-06-06Hong KongIran,2024-06-06,World Cup  and  Asian Cup qualifier in Hong Kong,Hong Kong,Iran,2,4,1056,1818,-762,T2
2024-06-06Hong KongIran,2024-06-06,World Cup  and  Asian Cup qualifier in Hong Kong,Iran,Hong Kong,4,2,1818,1056,762,T1
2024-06-06IndiaKuwait,2024-06-06,World Cup  and  Asian Cup qualifier in India,India,Kuwait,0,0,1194,1330,-136,D
2024-06-06IndiaKuwait,2024-06-06,World Cup  and  Asian Cup qualifier in India,Kuwait,India,0,0,1330,1194,136,D
2024-06-06IndonesiaIraq,2024-06-06,World Cup  and  Asian Cup qualifier in Indonesia,Iraq,Indonesia,2,0,1643,1338,305,T1
2024-06-06IndonesiaIraq,2024-06-06,World Cup  and  Asian Cup qualifier in Indonesia,Indonesia,Iraq,0,2,1338,1643,-305,T2
2024-06-06JamaicaDominican Republic,2024-06-06,World Cup qualifier in Jamaica,Jamaica,Dominican Republic,1,0,1638,1208,430,T1
2024-06-06JamaicaDominican Republic,2024-06-06,World Cup qualifier in Jamaica,Dominican Republic,Jamaica,0,1,1208,1638,-430,T2
2024-06-06JordanTajikistan,2024-06-06,World Cup  and  Asian Cup qualifier in Jordan,Tajikistan,Jordan,0,3,1388,1599,-211,T2
2024-06-06JordanTajikistan,2024-06-06,World Cup  and  Asian Cup qualifier in Jordan,Jordan,Tajikistan,3,0,1599,1388,211,T1
2024-06-06KyrgyzstanMalaysia,2024-06-06,World Cup  and  Asian Cup qualifier in Kyrgyzstan,Malaysia,Kyrgyzstan,1,1,1264,1269,-5,D
2024-06-06KyrgyzstanMalaysia,2024-06-06,World Cup  and  Asian Cup qualifier in Kyrgyzstan,Kyrgyzstan,Malaysia,1,1,1269,1264,5,D
2024-06-06LebanonPalestine,2024-06-06,World Cup  and  Asian Cup qualifier in Qatar,Palestine,Lebanon,0,0,1419,1281,138,D
2024-06-06LebanonPalestine,2024-06-06,World Cup  and  Asian Cup qualifier in Qatar,Lebanon,Palestine,0,0,1281,1419,-138,D
2024-06-06LibyaMauritius,2024-06-06,World Cup qualifier in Libya,Libya,Mauritius,2,1,1409,1012,397,T1
2024-06-06LibyaMauritius,2024-06-06,World Cup qualifier in Libya,Mauritius,Libya,1,2,1012,1409,-397,T2
2024-06-06MalawiSão Tomé and Príncipe,2024-06-06,World Cup qualifier in Malawi,São Tomé and Príncipe,Malawi,1,3,1067,1301,-234,T2
2024-06-06MalawiSão Tomé and Príncipe,2024-06-06,World Cup qualifier in Malawi,Malawi,São Tomé and Príncipe,3,1,1301,1067,234,T1
2024-06-06MaliGhana,2024-06-06,World Cup qualifier in Mali,Ghana,Mali,2,1,1503,1649,-146,T1
2024-06-06MaliGhana,2024-06-06,World Cup qualifier in Mali,Mali,Ghana,1,2,1649,1503,146,T2
2024-06-06MauritaniaSudan,2024-06-06,World Cup qualifier in Mauritania,Sudan,Mauritania,2,0,1326,1396,-70,T1
2024-06-06MauritaniaSudan,2024-06-06,World Cup qualifier in Mauritania,Mauritania,Sudan,0,2,1396,1326,70,T2
2024-06-06MyanmarJapan,2024-06-06,World Cup  and  Asian Cup qualifier in Myanmar,Japan,Myanmar,5,0,1851,919,932,T1
2024-06-06MyanmarJapan,2024-06-06,World Cup  and  Asian Cup qualifier in Myanmar,Myanmar,Japan,0,5,919,1851,-932,T2
2024-06-06NetherlandsCanada,2024-06-06,Friendly in the Netherlands,Netherlands,Canada,4,0,1968,1716,252,T1
2024-06-06NetherlandsCanada,2024-06-06,Friendly in the Netherlands,Canada,Netherlands,0,4,1716,1968,-252,T2
2024-06-06North KoreaSyria,2024-06-06,World Cup  and  Asian Cup qualifier in Laos,North Korea,Syria,1,0,1366,1446,-80,T1
2024-06-06North KoreaSyria,2024-06-06,World Cup  and  Asian Cup qualifier in Laos,Syria,North Korea,0,1,1446,1366,80,T2
2024-06-06PakistanSaudi Arabia,2024-06-06,World Cup  and  Asian Cup qualifier in Pakistan,Saudi Arabia,Pakistan,3,0,1612,827,785,T1
2024-06-06PakistanSaudi Arabia,2024-06-06,World Cup  and  Asian Cup qualifier in Pakistan,Pakistan,Saudi Arabia,0,3,827,1612,-785,T2
2024-06-06PanamaGuyana,2024-06-06,World Cup qualifier in Panama,Guyana,Panama,0,2,1263,1707,-444,T2
2024-06-06PanamaGuyana,2024-06-06,World Cup qualifier in Panama,Panama,Guyana,2,0,1707,1263,444,T1
2024-06-06SenegalDemocratic Republic of Congo,2024-06-06,World Cup qualifier in Senegal,Democratic Republic of Congo,Senegal,1,1,1534,1776,-242,D
2024-06-06SenegalDemocratic Republic of Congo,2024-06-06,World Cup qualifier in Senegal,Senegal,Democratic Republic of Congo,1,1,1776,1534,242,D
2024-06-06SingaporeSouth Korea,2024-06-06,World Cup  and  Asian Cup qualifier in Singapore,Singapore,South Korea,0,7,1118,1731,-613,T2
2024-06-06SingaporeSouth Korea,2024-06-06,World Cup  and  Asian Cup qualifier in Singapore,South Korea,Singapore,7,0,1731,1118,613,T1
2024-06-06TaiwanOman,2024-06-06,World Cup  and  Asian Cup qualifier in Taiwan,Taiwan,Oman,0,3,906,1542,-636,T2
2024-06-06TaiwanOman,2024-06-06,World Cup  and  Asian Cup qualifier in Taiwan,Oman,Taiwan,3,0,1542,906,636,T1
2024-06-06United Arab EmiratesNepal,2024-06-06,World Cup  and  Asian Cup qualifier in Saudi Arabia,United Arab Emirates,Nepal,4,0,1508,889,619,T1
