date,teams,location,rank,elo,win_pct,scrape_date
Fri Sep 6,Saint Martin> Grenada>,CONCACAF League B in Saint Martin,194 175,942 1083,44% 56%,2024-07-06
Fri Sep 6,Sint Maarten> Aruba>,CONCACAF League B in Sint Maarten,204 189,855 992,45% 55%,2024-07-06
Sat Sep 7,Germany> Hungary>,European League A in Germany,10 23,1934 1801,79% 21%,2024-07-06
Sat Sep 7,Netherlands> Bosnia/Herzegovina>,European League A in the Netherlands,7 89,1989 1476,97% 3%,2024-07-06
Sat Sep 7,Georgia> Czechia>,European League B in Georgia,42 38,1704 1732,60% 40%,2024-07-06
Sat Sep 7,Greece> Finland>,European League B in Greece,34 57,1739 1627,77% 23%,2024-07-06
Sat Sep 7,Ireland> England>,European League B in Ireland,59 8,1619 1971,19% 81%,2024-07-06
Sat Sep 7,Ukraine> Albania>,European League B in Czechia,19 55,1816 1631,74% 26%,2024-07-06
Sat Sep 7,Armenia> Latvia>,European League C in Armenia,90 134,1462 1321,80% 20%,2024-07-06
Sat Sep 7,Faroe Islands> North Macedonia>,European League C in the Faroe Islands,152 74,1246 1547,24% 76%,2024-07-06
Sat Sep 7,Moldova> Malta>,European League D in Moldova,120 151,1350 1257,75% 25%,2024-07-06
Sat Sep 7,United States> Canada>,Friendly in the United States,31 31,1747 1747,64% 36%,2024-07-06
Sat Sep 7,Bermuda> Dominican Republic>,CONCACAF League B in Bermuda,168 159,1126 1208,53% 47%,2024-07-06
Sat Sep 7,Dominica> Antigua and Barbuda>,CONCACAF League B in Dominica,186 190,1008 988,67% 33%,2024-07-06
Sat Sep 7,Bahamas> Barbados>,CONCACAF League C in the Bahamas,209 195,810 930,47% 53%,2024-07-06
Sat Sep 7,Cayman Islands> Saint Kitts and Nevis>,CONCACAF League C in the Cayman Islands,207 176,825 1082,29% 71%,2024-07-06
Sat Sep 7,Turks and Caicos> Belize>,CONCACAF League C in Turks and Caicos,219 182,690 1039,19% 81%,2024-07-06
Sat Sep 7,Mexico> New Zealand>,Friendly in the United States,25 65,1785 1571,77% 23%,2024-07-06
Sun Sep 8,Croatia> Poland>,European League A in Croatia,12 39,1916 1730,84% 16%,2024-07-06
Sun Sep 8,Denmark> Serbia>,European League A in Denmark,19 24,1816 1789,68% 32%,2024-07-06
Sun Sep 8,Portugal> Scotland>,European League A in Portugal,9 36,1960 1735,87% 13%,2024-07-06
Sun Sep 8,Switzerland> Spain>,European League A in Switzerland,13 2,1904 2112,35% 65%,2024-07-06
Sun Sep 8,Bulgaria> Northern Ireland>,European League C in Bulgaria,85 78,1488 1518,60% 40%,2024-07-06
Sun Sep 8,Luxembourg> Belarus>,European League C in Luxembourg,79 96,1511 1433,74% 26%,2024-07-06
Sun Sep 8,Slovakia> Azerbaijan>,European League C in Slovakia,43 84,1685 1493,84% 16%,2024-07-06
Sun Sep 8,Sweden> Estonia>,European League C in Sweden,47 113,1675 1371,91% 9%,2024-07-06
Sun Sep 8,Gibraltar> Liechtenstein>,European League D in Gibraltar,180 191,1057 968,75% 25%,2024-07-06
Sun Sep 8,El Salvador> Bonaire>,CONCACAF League B in El Salvador,110 206,1389 827,98% 2%,2024-07-06
Sun Sep 8,St Vincent/Gren> Montserrat>,CONCACAF League B in St Vincent/Gren,178 185,1071 1015,71% 29%,2024-07-06
Mon Sep 9,France> Belgium>,European League A in France,3 10,2069 1934,79% 21%,2024-07-06
Mon Sep 9,Israel> Italy>,European League A in Israel,66 14,1567 1891,22% 78%,2024-07-06
Mon Sep 9,Montenegro> Wales>,European League B in Montenegro,71 44,1555 1684,46% 54%,2024-07-06
Mon Sep 9,Norway> Austria>,European League B in Norway,37 15,1734 1876,44% 56%,2024-07-06
Mon Sep 9,Slovenia> Kazakhstan>,European League B in Slovenia,29 92,1771 1453,92% 8%,2024-07-06
